Type,Trans Date,Post Date,Description,Amount
Sale,08/10/2017,08/13/2017,BRADLEY #314,-29.94
Sale,08/09/2017,08/11/2017,GREAT WALL III,-10.60
Sale,08/09/2017,08/11/2017,SEMION BARBERSHOP,-39.00
Sale,08/08/2017,08/10/2017,7-ELEVEN 27043,-3.00
Sale,08/08/2017,08/10/2017,PHO SAIGON-VIETNAMESE NOO,-9.45
Sale,08/08/2017,08/09/2017,CALLAHAN AND KLEIN DENTAL,-138.00
Sale,08/07/2017,08/08/2017,TRADER JOE'S #302 QPS,-13.60
Sale,08/07/2017,08/09/2017,PHO DUY,-10.63
Sale,08/06/2017,08/09/2017,SAFEWAY  STORE00016147,-2.49
Sale,08/06/2017,08/07/2017,KING SOOPERS #0001,-99.14
Sale,08/06/2017,08/08/2017,STARBUCKS STORE 05285,-17.23
Sale,08/06/2017,08/08/2017,SAFEWAY  STORE00016147,-4.57
Sale,08/06/2017,08/07/2017,LA WINE SPIRITS,-18.45
Sale,08/06/2017,08/07/2017,TRADER JOE'S #302 QPS,-8.59
Sale,08/05/2017,08/07/2017,KEYSTONE RIVER RUN SPORTS,-46.40
Sale,08/05/2017,08/06/2017,APL* ITUNES.COM/BILL,-13.46
Sale,08/05/2017,08/06/2017,PRN COAST TO COAST AM,-6.95
Sale,08/05/2017,08/07/2017,KEYSTONE NEIGHBOURHOOD-T,-20.00
Sale,08/04/2017,08/06/2017,SHELL OIL 57444275002,-27.57
Sale,08/04/2017,08/07/2017,CB AND POTTS  DENVER,-39.67
Sale,08/04/2017,08/06/2017,TRADER JOE'S #302 QPS,-28.02
